fecha,portafolio_total_mxn
2023-01-23,703797.21
2023-01-24,704135.78
2023-01-25,704474.52
2023-01-26,704813.42
2023-01-27,705152.48
2023-01-30,705491.71
2023-01-31,705831.10
2023-02-01,716175.46
2023-02-02,716519.99
2023-02-03,716864.68
2023-02-06,717209.54
2023-02-07,717554.57
2023-02-08,717899.76
2023-02-09,718245.12
2023-02-10,718590.65
2023-02-13,718936.34
2023-02-14,719282.19
2023-02-15,719628.22
2023-02-16,719974.41
2023-02-17,720320.76
2023-02-20,720667.29
2023-02-21,721013.98
2023-02-22,721360.83
2023-02-23,721707.85
2023-02-24,722055.05
2023-02-27,722402.40
2023-02-28,722749.93
2023-03-01,733102.43
2023-03-02,733455.10
2023-03-03,733807.94
2023-03-06,734160.95
2023-03-07,734514.13
2023-03-08,734867.49
2023-03-09,735221.01
2023-03-10,735574.70
2023-03-13,735928.56
2023-03-14,736282.59
2023-03-15,736636.79
2023-03-16,736991.16
2023-03-17,737345.71
2023-03-20,737700.42
2023-03-21,738055.30
2023-03-22,738410.36
2023-03-23,738765.58
2023-03-24,739120.98
2023-03-27,739476.55
2023-03-28,739832.28
2023-03-29,740188.19
2023-03-30,740544.27
2023-03-31,740900.53
2023-04-03,751004.03
2023-04-04,751107.56
2023-04-05,751211.10
2023-04-06,751314.65
2023-04-07,751418.21
2023-04-10,751521.79
2023-04-11,751625.39
2023-04-12,751729.00
2023-04-13,751832.62
2023-04-14,751936.26
2023-04-17,752039.91
2023-04-18,752143.58
2023-04-19,752247.26
2023-04-20,752350.95
2023-04-21,752454.66
2023-04-24,752558.39
2023-04-25,752662.12
2023-04-26,752765.88
2023-04-27,752869.64
2023-04-28,752973.42
2023-05-01,763078.60
2023-05-02,763183.78
2023-05-03,763288.99
2023-05-04,763394.20
2023-05-05,763499.44
2023-05-08,763604.68
2023-05-09,763709.94
2023-05-10,763815.22
2023-05-11,763920.51
2023-05-12,764025.81
2023-05-15,764131.13
2023-05-16,764236.46
2023-05-17,764341.81
2023-05-18,764447.17
2023-05-19,764552.55
2023-05-22,764657.94
2023-05-23,764763.34
2023-05-24,764868.76
2023-05-25,764974.20
2023-05-26,765079.65
2023-05-29,765185.11
2023-05-30,765290.59
2023-05-31,765396.08
2023-06-01,775502.97
2023-06-02,775609.87
2023-06-05,775716.79
2023-06-06,775823.72
2023-06-07,775930.66
2023-06-08,776037.62
2023-06-09,776144.59
2023-06-12,776251.58
2023-06-13,776358.59
2023-06-14,776465.61
2023-06-15,776572.64
2023-06-16,776679.69
2023-06-19,776786.75
2023-06-20,776893.83
2023-06-21,777000.92
2023-06-22,777108.03
2023-06-23,777215.15
2023-06-26,777322.28
2023-06-27,777429.44
2023-06-28,777536.60
2023-06-29,777643.78
2023-06-30,777750.98
2023-07-03,787713.97
2023-07-04,787676.96
2023-07-05,787639.96
2023-07-06,787602.95
2023-07-07,787565.95
2023-07-10,787528.95
2023-07-11,787491.95
2023-07-12,787454.95
2023-07-13,787417.96
2023-07-14,787380.96
2023-07-17,787343.97
2023-07-18,787306.98
2023-07-19,787269.99
2023-07-20,787233.00
2023-07-21,787196.02
2023-07-24,787159.04
2023-07-25,787122.05
2023-07-26,787085.07
2023-07-27,787048.10
2023-07-28,787011.12
2023-07-31,786974.14
2023-08-01,796936.70
2023-08-02,796899.26
2023-08-03,796861.82
2023-08-04,796824.38
2023-08-07,796786.95
2023-08-08,796749.51
2023-08-09,796712.08
2023-08-10,796674.65
2023-08-11,796637.22
2023-08-14,796599.80
2023-08-15,796562.37
2023-08-16,796524.95
2023-08-17,796487.53
2023-08-18,796450.11
2023-08-21,796412.69
2023-08-22,796375.27
2023-08-23,796337.86
2023-08-24,796300.44
2023-08-25,796263.03
2023-08-28,796225.62
2023-08-29,796188.22
2023-08-30,796150.81
2023-08-31,796113.41
2023-09-01,806075.53
2023-09-04,806037.66
2023-09-05,805999.79
2023-09-06,805961.93
2023-09-07,805924.06
2023-09-08,805886.20
2023-09-11,805848.34
2023-09-12,805810.48
2023-09-13,805772.62
2023-09-14,805734.76
2023-09-15,805696.91
2023-09-18,805659.06
2023-09-19,805621.21
2023-09-20,805583.36
2023-09-21,805545.51
2023-09-22,805507.66
2023-09-25,805469.82
2023-09-26,805431.98
2023-09-27,805394.14
2023-09-28,805356.30
2023-09-29,805318.46
2023-10-02,815280.16
2023-10-03,815241.86
2023-10-04,815203.55
2023-10-05,815165.26
2023-10-06,815126.96
2023-10-09,815088.66
2023-10-10,815050.37
2023-10-11,815012.08
2023-10-12,814973.79
2023-10-13,814935.50
2023-10-16,814897.21
2023-10-17,814858.93
2023-10-18,814820.64
2023-10-19,814782.36
2023-10-20,814744.08
2023-10-23,814705.81
2023-10-24,814667.53
2023-10-25,814629.26
2023-10-26,814590.98
2023-10-27,814552.71
2023-10-30,814514.44
2023-10-31,814476.18
2023-11-01,824437.44
2023-11-02,824398.71
2023-11-03,824359.98
2023-11-06,824321.25
2023-11-07,824282.52
2023-11-08,824243.80
2023-11-09,824205.07
2023-11-10,824166.35
2023-11-13,824127.63
2023-11-14,824088.91
2023-11-15,824050.19
2023-11-16,824011.48
2023-11-17,823972.77
2023-11-20,823934.05
2023-11-21,823895.35
2023-11-22,823856.64
2023-11-23,823817.93
2023-11-24,823779.23
2023-11-27,823740.53
2023-11-28,823701.83
2023-11-29,823663.13
2023-11-30,823624.43
2023-12-01,833585.27
2023-12-04,833546.10
2023-12-05,833506.94
2023-12-06,833467.78
2023-12-07,833428.63
2023-12-08,833389.47
2023-12-11,833350.32
2023-12-12,833311.16
2023-12-13,833272.01
2023-12-14,833232.87
2023-12-15,833193.72
2023-12-18,833154.58
2023-12-19,833115.43
2023-12-20,833076.29
2023-12-21,833037.15
2023-12-22,832998.02
2023-12-25,832958.88
2023-12-26,832919.75
2023-12-27,832880.62
2023-12-28,832841.49
2023-12-29,832802.36
2024-01-01,842762.76
2024-01-02,842723.17
2024-01-03,842683.58
2024-01-04,842643.99
2024-01-05,842604.40
2024-01-08,842564.81
2024-01-09,842525.23
2024-01-10,842485.64
2024-01-11,842446.06
2024-01-12,842406.48
2024-01-15,842366.91
2024-01-16,842327.33
2024-01-17,842287.76
2024-01-18,842248.19
2024-01-19,842208.62
2024-01-22,842169.05
2024-01-23,842129.48
2024-01-24,842089.92
2024-01-25,842050.36
2024-01-26,842010.79
2024-01-29,841971.24
2024-01-30,841931.68
2024-01-31,841892.12
2024-02-01,851852.10
2024-02-02,851812.08
2024-02-05,851772.06
2024-02-06,851732.04
2024-02-07,851692.03
2024-02-08,851652.02
2024-02-09,851612.00
2024-02-12,851571.99
2024-02-13,851531.99
2024-02-14,851491.98
2024-02-15,851451.98
2024-02-16,851411.97
2024-02-19,851371.97
2024-02-20,851331.97
2024-02-21,851291.98
2024-02-22,851251.98
2024-02-23,851211.99
2024-02-26,851172.00
2024-02-27,851132.01
2024-02-28,851092.02
2024-02-29,851052.04
2024-03-01,861011.58
2024-03-04,860971.13
2024-03-05,860930.68
2024-03-06,860890.24
2024-03-07,860849.79
2024-03-08,860809.35
2024-03-11,860768.91
2024-03-12,860728.47
2024-03-13,860688.03
2024-03-14,860647.59
2024-03-15,860607.16
2024-03-18,860566.72
2024-03-19,860526.29
2024-03-20,860485.87
2024-03-21,860445.44
2024-03-22,860405.01
2024-03-25,860364.59
2024-03-26,860324.17
2024-03-27,860283.75
2024-03-28,860243.33
2024-03-29,860202.92
2024-04-01,870162.04
2024-04-02,870121.15
2024-04-03,870080.28
2024-04-04,870039.40
2024-04-05,869998.52
2024-04-08,869957.65
2024-04-09,869916.78
2024-04-10,869875.91
2024-04-11,869835.04
2024-04-12,869794.17
2024-04-15,869753.31
2024-04-16,869712.45
2024-04-17,869671.59
2024-04-18,869630.73
2024-04-19,869589.87
2024-04-22,869549.02
2024-04-23,869508.17
2024-04-24,869467.32
2024-04-25,869426.47
2024-04-26,869385.62
2024-04-29,869344.78
2024-04-30,869303.93
2024-05-01,879262.62
2024-05-02,879221.31
2024-05-03,879180.01
2024-05-06,879138.70
2024-05-07,879097.40
2024-05-08,879056.10
2024-05-09,879014.80
2024-05-10,878973.50
2024-05-13,878932.21
2024-05-14,878890.91
2024-05-15,878849.62
2024-05-16,878808.33
2024-05-17,878767.04
2024-05-20,878725.76
2024-05-21,878684.48
2024-05-22,878643.19
2024-05-23,878601.91
2024-05-24,878560.64
2024-05-27,878519.36
2024-05-28,878478.09
2024-05-29,878436.81
2024-05-30,878395.54
2024-05-31,878354.28
2024-06-03,888312.54
2024-06-04,888270.81
2024-06-05,888229.07
2024-06-06,888187.34
2024-06-07,888145.62
2024-06-10,888103.89
2024-06-11,888062.17
2024-06-12,888020.44
2024-06-13,887978.72
2024-06-14,887937.01
2024-06-17,887895.29
2024-06-18,887853.57
2024-06-19,887811.86
2024-06-20,887770.15
2024-06-21,887728.44
2024-06-24,887686.74
2024-06-25,887645.03
2024-06-26,887603.33
2024-06-27,887561.63
2024-06-28,887519.93
2024-07-01,897477.76
2024-07-02,897435.60
2024-07-03,897393.44
2024-07-04,897351.28
2024-07-05,897309.12
2024-07-08,897266.96
2024-07-09,897224.81
2024-07-10,897182.65
2024-07-11,897140.50
2024-07-12,897098.35
2024-07-15,897056.21
2024-07-16,897014.06
2024-07-17,896971.92
2024-07-18,896929.78
2024-07-19,896887.64
2024-07-22,896845.50
2024-07-23,896803.37
2024-07-24,896761.24
2024-07-25,896719.10
2024-07-26,896676.98
2024-07-29,896634.85
2024-07-30,896592.72
2024-07-31,896550.60
2024-08-01,906508.01
2024-08-02,906465.42
2024-08-05,906422.83
2024-08-06,906380.25
2024-08-07,906337.67
2024-08-08,906295.09
2024-08-09,906252.51
2024-08-12,906209.93
2024-08-13,906167.36
2024-08-14,906124.78
2024-08-15,906082.21
2024-08-16,906039.64
2024-08-19,905997.08
2024-08-20,905954.51
2024-08-21,905911.95
2024-08-22,905869.39
2024-08-23,905826.83
2024-08-26,905784.27
2024-08-27,905741.72
2024-08-28,905699.16
2024-08-29,905656.61
2024-08-30,905614.06
2024-09-02,915571.05
2024-09-03,915528.03
2024-09-04,915485.02
2024-09-05,915442.01
2024-09-06,915399.00
2024-09-09,915356.00
2024-09-10,915312.99
2024-09-11,915269.99
2024-09-12,915226.99
2024-09-13,915183.99
2024-09-16,915140.99
2024-09-17,915098.00
2024-09-18,915055.01
2024-09-19,915012.02
2024-09-20,914969.03
2024-09-23,914926.04
2024-09-24,914883.06
2024-09-25,914840.07
2024-09-26,914797.09
2024-09-27,914754.12
2024-09-30,914711.14
2024-10-01,924667.70
2024-10-02,924624.25
2024-10-03,924580.81
2024-10-04,924537.38
2024-10-07,924493.94
2024-10-08,924450.51
2024-10-09,924407.07
2024-10-10,924363.64
2024-10-11,924320.22
2024-10-14,924276.79
2024-10-15,924233.37
