,cetes_mxn,e_E11_mxn,ml_LogisticRegression_mxn,ga_mxn
2021-11-25,570666.88,531394.14,607454.57,541866.50
2021-11-26,570784.48,530288.19,605085.27,541815.45
2021-11-29,570902.12,539039.09,609628.68,541764.41
2021-11-30,571019.77,547092.17,617864.31,541713.37
2021-12-01,581144.32,557111.04,624368.67,551661.39
2021-12-02,581268.90,571736.29,635024.83,551609.42
2021-12-03,581393.50,562898.49,641769.87,551557.45
2021-12-06,581518.13,562537.59,637680.19,551505.49
2021-12-07,581642.79,563988.87,637114.94,551453.53
2021-12-08,581767.48,567929.12,635776.06,551401.57
2021-12-09,581892.19,567802.55,638070.16,551349.63
2021-12-10,582016.93,566185.61,637622.14,551297.68
2021-12-13,582141.69,568891.16,639184.49,551245.74
2021-12-14,582266.48,576045.13,644802.68,551193.81
2021-12-15,582391.30,573692.44,647459.31,551141.88
2021-12-16,582516.15,571242.12,641335.94,551089.96
2021-12-17,582641.02,574403.18,646425.29,551038.04
2021-12-20,582765.92,571708.17,652809.01,550986.12
2021-12-21,582890.84,581141.80,654258.66,550934.21
2021-12-22,583015.80,579424.00,656139.30,550882.31
2021-12-23,583140.78,583051.13,656706.23,550830.41
2021-12-24,583265.78,583714.88,658913.72,550778.52
2021-12-27,583390.81,584648.65,666876.13,550726.63
2021-12-28,583515.87,586690.48,671806.46,550674.74
2021-12-29,583640.96,585553.71,670607.25,550622.86
2021-12-30,583766.07,586963.91,670476.34,550570.99
2021-12-31,583891.21,588201.41,677377.41,550519.12
2022-01-03,594024.77,601446.03,692605.27,560466.31
2022-01-04,594158.35,603255.30,691197.03,560413.51
2022-01-05,594291.97,597454.02,689266.97,560360.71
2022-01-06,594425.61,598237.89,688718.35,560307.92
2022-01-07,594559.29,597680.36,685768.41,560255.13
2022-01-10,594693.00,592790.82,688029.81,560202.35
2022-01-11,594826.73,590886.72,683122.18,560149.57
2022-01-12,594960.50,591379.88,686377.99,560096.80
2022-01-13,595094.29,595852.85,690965.21,560044.03
2022-01-14,595228.12,594458.83,690119.87,559991.27
2022-01-17,595361.97,596586.91,691941.80,559938.51
2022-01-18,595495.86,593528.33,693258.16,559885.76
2022-01-19,595629.78,591118.10,694192.41,559833.01
2022-01-20,595763.72,597698.22,695008.46,559780.26
2022-01-21,595897.70,615402.83,700825.97,559727.53
2022-01-24,596031.71,597857.21,695120.79,559674.79
2022-01-25,596165.74,589525.29,688186.77,559622.07
2022-01-26,596299.81,587913.31,685490.68,559569.34
2022-01-27,596433.91,589273.34,687127.95,559516.63
2022-01-28,596568.03,590670.98,685890.56,559463.91
2022-01-31,596702.19,600075.10,693240.86,559411.20
2022-02-01,606841.36,620931.36,706516.99,569357.56
2022-02-02,606980.55,622767.73,705102.57,569303.92
2022-02-03,607119.78,627852.65,701364.26,569250.28
2022-02-04,607259.04,639088.35,702178.60,569196.65
2022-02-07,607398.34,,702178.60,569143.03
2022-02-08,607537.66,631884.10,700637.47,569089.41
2022-02-09,607677.02,646937.72,710063.97,569035.80
2022-02-10,607816.41,649219.67,715832.18,568982.19
2022-02-11,607955.83,653440.80,719385.29,568928.58
2022-02-14,608095.28,653919.61,718110.46,568874.98
2022-02-15,608234.77,660729.49,727693.27,568821.39
2022-02-16,608374.28,672627.37,735705.66,568767.80
2022-02-17,608513.83,693684.08,760898.50,568714.21
2022-02-18,608653.41,693205.39,761787.98,568660.63
2022-02-21,608793.03,689092.23,758717.35,568607.06
2022-02-22,608932.67,694028.68,761873.31,568553.49
2022-02-23,609072.35,689595.37,763274.16,568499.92
2022-02-24,609212.06,684420.85,762537.16,568446.37
2022-02-25,609351.80,693253.06,766534.92,568392.81
2022-02-28,609491.57,694427.62,767138.78,568339.26
2022-03-01,619642.01,701594.29,770088.22,578284.78
2022-03-02,619792.49,716183.50,779114.71,578230.29
2022-03-03,619943.00,711937.93,772496.76,578175.82
2022-03-04,620093.55,716124.38,770107.13,578121.35
2022-03-07,620244.13,716498.33,766241.85,578066.88
2022-03-08,620394.76,718794.86,765751.01,578012.42
2022-03-09,620545.41,718576.58,763818.89,577957.97
2022-03-10,620696.11,716120.23,761793.26,577903.52
2022-03-11,620846.84,701925.92,751662.05,577849.07
2022-03-14,620997.61,678604.58,748985.01,577794.63
2022-03-15,621148.42,675047.76,742080.87,577740.20
2022-03-16,621299.26,686107.66,750392.56,577685.77
2022-03-17,621450.14,697944.85,763596.54,577631.34
2022-03-18,621601.05,696107.69,771385.47,577576.92
2022-03-21,621752.00,,771385.47,577522.51
2022-03-22,621902.99,698034.96,769122.17,577468.10
2022-03-23,622054.02,693740.53,762529.02,577413.69
2022-03-24,622205.08,693156.49,767589.25,577359.29
2022-03-25,622356.18,694714.11,770295.18,577304.90
2022-03-28,622507.31,697133.88,770957.00,577250.51
2022-03-29,622658.49,702617.31,770860.01,577196.13
2022-03-30,622809.69,700772.06,770409.08,577141.75
2022-03-31,622960.94,696621.89,771021.01,577087.38
2022-04-01,633125.26,710038.77,781169.90,587032.07
2022-04-04,633289.63,721939.59,791185.03,586976.76
2022-04-05,633454.04,723276.77,791875.76,586921.46
2022-04-06,633618.49,738119.38,787094.55,586866.17
2022-04-07,633782.98,742130.91,798609.86,586810.88
2022-04-08,633947.52,744939.01,797372.41,586755.59
2022-04-11,634112.09,744136.71,791681.39,586700.31
2022-04-12,634276.72,731032.39,785801.35,586645.04
2022-04-13,634441.38,751357.39,791720.60,586589.77
2022-04-14,634606.09,,791720.60,586534.51
2022-04-15,634770.84,,791720.60,586479.25
2022-04-18,634935.63,748950.47,792985.70,586423.99
2022-04-19,635100.47,755636.35,799671.73,586368.75
2022-04-20,635265.34,750287.65,790953.15,586313.50
2022-04-21,635430.26,743200.65,789977.88,586258.27
2022-04-22,635595.23,749619.09,791996.25,586203.03
2022-04-25,635760.24,750153.96,793258.04,586147.81
2022-04-26,635925.28,732503.25,788042.53,586092.59
2022-04-27,636090.38,736290.68,784742.86,586037.37
2022-04-28,636255.51,725212.59,781918.61,585982.16
2022-04-29,636420.69,739938.40,785169.65,585926.95
2022-05-02,646599.78,736698.65,802450.10,595870.81
2022-05-03,646778.92,732645.73,806080.07,595814.67
2022-05-04,646958.10,744129.15,818136.04,595758.54
2022-05-05,647137.34,742102.63,830209.76,595702.41
2022-05-06,647316.63,733861.59,842070.64,595646.29
2022-05-09,647495.96,717244.39,844477.12,595590.17
2022-05-10,647675.35,718865.58,854286.02,595534.06
2022-05-11,647854.79,699005.99,855372.40,595477.95
2022-05-12,648034.27,679146.40,846676.86,595421.85
2022-05-13,648213.81,690900.03,865398.77,595365.76
2022-05-16,648393.39,705220.57,881955.76,595309.67
2022-05-17,648573.03,715758.26,879955.93,595253.58
2022-05-18,648752.71,705760.97,885666.00,595197.50
