fecha,portafolio_total_mxn
2024-05-21,1066932.56
2024-05-22,1067371.83
2024-05-23,1067811.27
2024-05-24,1068250.90
2024-05-27,1068690.71
2024-05-28,1069130.70
2024-05-29,1069570.87
2024-05-30,1070011.22
2024-05-31,1070451.75
2024-06-03,1080891.94
2024-06-04,1081332.31
2024-06-05,1081772.86
2024-06-06,1082213.58
2024-06-07,1082654.49
2024-06-10,1083095.57
2024-06-11,1083536.84
2024-06-12,1083978.29
2024-06-13,1084419.91
2024-06-14,1084861.72
2024-06-17,1085303.70
2024-06-18,1085745.87
2024-06-19,1086188.21
2024-06-20,1086630.74
2024-06-21,1087073.44
2024-06-24,1087516.33
2024-06-25,1087959.40
2024-06-26,1088402.65
2024-06-27,1088846.07
2024-06-28,1089289.68
2024-07-01,1099734.79
2024-07-02,1100180.07
2024-07-03,1100625.54
2024-07-04,1101071.19
2024-07-05,1101517.01
2024-07-08,1101963.02
2024-07-09,1102409.21
2024-07-10,1102855.58
2024-07-11,1103302.13
2024-07-12,1103748.86
2024-07-15,1104195.77
2024-07-16,1104642.86
2024-07-17,1105090.14
2024-07-18,1105537.59
2024-07-19,1105985.23
2024-07-22,1106433.04
2024-07-23,1106881.04
2024-07-24,1107329.22
2024-07-25,1107777.58
2024-07-26,1108226.12
2024-07-29,1108674.85
2024-07-30,1109123.75
2024-07-31,1109572.84
2024-08-01,1120023.35
2024-08-02,1120474.04
2024-08-05,1120924.91
2024-08-06,1121375.96
2024-08-07,1121827.20
2024-08-08,1122278.61
2024-08-09,1122730.21
2024-08-12,1123181.99
2024-08-13,1123633.95
2024-08-14,1124086.09
2024-08-15,1124538.41
2024-08-16,1124990.92
2024-08-19,1125443.61
2024-08-20,1125896.48
2024-08-21,1126349.53
2024-08-22,1126802.77
2024-08-23,1127256.18
2024-08-26,1127709.78
2024-08-27,1128163.57
2024-08-28,1128617.53
2024-08-29,1129071.68
2024-08-30,1129526.01
2024-09-02,1139979.64
2024-09-03,1140433.45
2024-09-04,1140887.44
2024-09-05,1141341.61
2024-09-06,1141795.96
2024-09-09,1142250.50
2024-09-10,1142705.21
2024-09-11,1143160.11
2024-09-12,1143615.18
2024-09-13,1144070.44
2024-09-16,1144525.88
2024-09-17,1144981.50
2024-09-18,1145437.30
2024-09-19,1145893.28
2024-09-20,1146349.44
2024-09-23,1146805.79
2024-09-24,1147262.32
2024-09-25,1147719.03
2024-09-26,1148175.92
2024-09-27,1148632.99
2024-09-30,1149090.25
2024-10-01,1159546.25
2024-10-02,1160002.43
2024-10-03,1160458.79
2024-10-04,1160915.34
2024-10-07,1161372.06
2024-10-08,1161828.96
2024-10-09,1162286.04
2024-10-10,1162743.30
2024-10-11,1163200.74
2024-10-14,1163658.36
2024-10-15,1164116.16
2024-10-16,1164574.14
2024-10-17,1165032.30
2024-10-18,1165490.65
2024-10-21,1165949.17
2024-10-22,1166407.87
2024-10-23,1166866.75
2024-10-24,1167325.81
